movie_id,title,youtube_key,comment
980477,Ne Zha 2,ETlOSBR92Fs,Thank you for the great content!
980477,Ne Zha 2,ETlOSBR92Fs,It's an epic movie with the most beautiful animations. Well worth seeing. I'll definitely be watching it again in English.
980477,Ne Zha 2,ETlOSBR92Fs,Watched twice in Mandarin. Will watch again in IMAX when it comes out. 🙌🙌🔥🔥🔥
980477,Ne Zha 2,ETlOSBR92Fs,That waterfall fight is so fucking fire in cinema
980477,Ne Zha 2,ETlOSBR92Fs,Probably my All time favorite animated movie.
980477,Ne Zha 2,ETlOSBR92Fs,I saw the movie 😊 it's an awesome experience in theatre
83533,Avatar: Fire and Ash,Ma1x7ikpid8,Avatar is one of those movies that'll be 6 hours long and you'll still catch me sitting in theatres for the entire 6 hours
83533,Avatar: Fire and Ash,Ma1x7ikpid8,"Reporter: How long is the film? Cameron: eight days, shut up and watch the damn movie."
83533,Avatar: Fire and Ash,Ma1x7ikpid8,Taking cameras and a whole crew to another planet to make this happen is amazing. Thank you.
83533,Avatar: Fire and Ash,Ma1x7ikpid8,"Y’all remember that some of the people who watched Avatar with us back in 2009 are no longer here. They waited for Avatar 2 but never made it to 2022. Now Avatar 3 is out, and sadly some didn’t make it to see this one either. They were anticipating it too. So be grateful and let’s pray that we all make it to 2029 and beyond to see Avatar 4."
83533,Avatar: Fire and Ash,Ma1x7ikpid8,"James Cameron flicks are among those where you don‘t just get to see a movie in theaters, you get an otherworldly experience."
83533,Avatar: Fire and Ash,Ma1x7ikpid8,"I successfully finished school, pursued my education at university, and secured a job, and the third part is already coming out, how time flies...❤"
83533,Avatar: Fire and Ash,Ma1x7ikpid8,TORUK IS BACK LET’S GO
83533,Avatar: Fire and Ash,Ma1x7ikpid8,I’m so happy that I didn’t watched the trailer beforehand. I’m still in awe
83533,Avatar: Fire and Ash,Ma1x7ikpid8,I'm 29 years old. First Avatar was released when I was 13 years old. I'm crying
83533,Avatar: Fire and Ash,Ma1x7ikpid8,I’m sure Varang will have a perfectly sane and calm reaction to Eywa saving an alien and not her own people…
83533,Avatar: Fire and Ash,Ma1x7ikpid8,0:10 This franchise is probably the last franchise which makes you feel that each new movie is SPECIAL
83533,Avatar: Fire and Ash,Ma1x7ikpid8,"For my entire life. Avatar has been the one movie every one in my entire family has watched together every time. On December 25th, we will all unite❤"
83533,Avatar: Fire and Ash,Ma1x7ikpid8,"I don't care what the internet says, I love these movies"
83533,Avatar: Fire and Ash,Ma1x7ikpid8,I can already tell this movie gonna be long as hell and y’all better believe I’m gonna be sitting there at that theater for the next three days
83533,Avatar: Fire and Ash,Ma1x7ikpid8,Humans connecting with Pandora’s animal kingdom??? That just opens a whole new world of possibilities
83533,Avatar: Fire and Ash,Ma1x7ikpid8,"Please people go watch it in cinema more than once, we want to break the 2$Billion box office so we can have avatar 4&5."
83533,Avatar: Fire and Ash,Ma1x7ikpid8,WAIT HOLD UP LEMME JUST BLURT OUT THE THINGS I SAW WITH MY EYES: - TORUK MAKTO RETURNS?! - addressing the no mask?! - two and half minute trailer?! - Neytiri in war paint?! - Jake aura farming again?! YOOOOO WHATTTTT THE HYPE IS REAL
83533,Avatar: Fire and Ash,Ma1x7ikpid8,"I will sit for 12 frikkng hours, eyes peeled, not a single yawn, idc. I'm watchin g the hell out of this."
83533,Avatar: Fire and Ash,Ma1x7ikpid8,"Toruk: (walks in) *""THE KING HAS RETURNED""*"
83533,Avatar: Fire and Ash,Ma1x7ikpid8,"2:25 This Outro Card feels like, We are going to see a film of the decade 🔥"
83533,Avatar: Fire and Ash,Ma1x7ikpid8,"Notice, Spider isn't just able to breathe Pandoran air now. He now HAS A KURU and is able to MAKE THE BOND!!! This is a _huge_ development beyond the established avatars! Just imagine a new race of Pandoran humans who can commune with Eywa as the Na'vi do."
83533,Avatar: Fire and Ash,Ma1x7ikpid8,The fact that Toruk is back and that Spider somehow connected with Eywa and got a Kuru of his own and can breath Pandoras air now… this is gonna be another good one isn’t it
83533,Avatar: Fire and Ash,Ma1x7ikpid8,"Just by the trailer, I can tell we are about to be left on a nasty cliffhanger"
83533,Avatar: Fire and Ash,Ma1x7ikpid8,"This is a once in a lifetime production and I am glad that James Cameron pushed through to make this saga. I am so thankful for all involved making this masterpiece, I love it!"
83533,Avatar: Fire and Ash,Ma1x7ikpid8,“Everything changed when the Fire Nation attacked.”
83533,Avatar: Fire and Ash,Ma1x7ikpid8,"If Toruk dies, we riot."
83533,Avatar: Fire and Ash,Ma1x7ikpid8,It’s giving “Everything changed when the fire nation attacked”
83533,Avatar: Fire and Ash,Ma1x7ikpid8,Very worth for 3 hours of my life
83533,Avatar: Fire and Ash,Ma1x7ikpid8,"Did anyone notice that the Tulkun now look to have abandoned their previous pacifist ways and now are willing to fight, just like Payakan? Bro inspired his whole species finally lock in and fight back. What an OG."
83533,Avatar: Fire and Ash,Ma1x7ikpid8,Toruk makto back in action baby 🔥
83533,Avatar: Fire and Ash,Ma1x7ikpid8,2:02 Our boy is back!
83533,Avatar: Fire and Ash,Ma1x7ikpid8,First one saw it alone. Second one saw it with my daughter. Third one will see it with grand daughter.
83533,Avatar: Fire and Ash,Ma1x7ikpid8,"This new trailer looks stunning. The way Avatar: Fire and Ash blends beauty with destruction feels bigger than just a movie like it’s hinting at the forces that shape entire worlds. While watching, I couldn’t help but think of Scorched Manifest Rules. That book gave me the same feeling, that behind every story of creation and collapse there are hidden rules guiding it all. Once you’ve read it, even a trailer like this feels loaded with deeper meaning."
83533,Avatar: Fire and Ash,Ma1x7ikpid8,I see no one saying this so I'm gonna do it. Have you seen how much the CGI has improved in a short time?? And Toruk's render is STUNNING!!! The footage of Kiri using her 'powers' also looks outstanding!
83533,Avatar: Fire and Ash,Ma1x7ikpid8,I LITERALLY SCREAMED WITH HAPPINESS THAT TORUK IS BACK!
83533,Avatar: Fire and Ash,Ma1x7ikpid8,"I couldn’t hold back my tears watching the opening scene, where Lo’ak and Neteyam fly together😭 A story about family like this reminds me to value and cherish my own family."
83533,Avatar: Fire and Ash,Ma1x7ikpid8,30percent of comments about how beautiful is the film 70percent TORUK IS BACK!!! EDIT-: SPIDER CAN BREATHE PARNDOS AIR CUS HE IS BUILT DIFFERENT EDIT:- GUYS WE GOTTA BEAT BOT COMMEN EDIT:- BOT IS GONR
83533,Avatar: Fire and Ash,Ma1x7ikpid8,How this film can be so beautiful
83533,Avatar: Fire and Ash,Ma1x7ikpid8,Finally a movie worth going to the theaters. Thank u James Cameron best Christmas gift ever😭😭😭
83533,Avatar: Fire and Ash,Ma1x7ikpid8,Who else feels attached to the Nai’ve in their world when watching these films?
83533,Avatar: Fire and Ash,Ma1x7ikpid8,"Rest in Peace, James Horner and Jon Landau."
83533,Avatar: Fire and Ash,Ma1x7ikpid8,"James Cameroon is like the Thanos of Hollywood box office at this point lol. Dude comes out of nowhere, drops a movie that tops the previous record holder (which was probably his too) and then disappeared again for a few years. He's like that one recurring boss who you can't do anything against but run lol"
83533,Avatar: Fire and Ash,Ma1x7ikpid8,2:03 A legend is back.
83533,Avatar: Fire and Ash,Ma1x7ikpid8,"Honestly, the Avatar movies feel like a true gift to cinema."
83533,Avatar: Fire and Ash,Ma1x7ikpid8,0:47 that shot followed by “From Director James Cameron” is just showing off and I’m here for it.
